,code,spa_10s_npg_male,spa_10s_npg_female,spa_20s_npg_male,spa_20s_npg_female,spa_30s_npg_male,spa_30s_npg_female,spa_40s_npg_male,spa_40s_npg_female,spa_50s_npg_male,spa_50s_npg_female
368,181912.0,2.86,6.07,2.99,6.34,2.95,6.26,2.33,4.94,2.7,5.74
369,168086.0,0.0,0.0,1.47,5.53,1.77,6.68,1.84,6.91,0.0,0.0
370,179975.0,,,,,,,,,,
371,168044.0,,,,,,,,,,
372,99470.0,,,,,,,,,,
373,171750.0,0.86,0.14,3.16,0.51,5.16,0.84,7.31,1.19,0.0,0.0
374,167374.0,2.8,4.2,3.27,4.9,3.38,5.06,3.2,4.8,3.6,5.4
375,192483.0,,,,,,,,,,
376,169241.0,,,,,,,,,,
377,192482.0,,,,,,,,,,
378,86137.0,,,,,,,,,,
379,162173.0,4.05,5.37,4.07,5.4,4.11,5.44,4.07,5.4,4.03,5.34
380,146506.0,3.39,3.97,3.28,3.85,3.36,3.95,3.52,4.14,3.57,4.2
381,121303.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
382,137008.0,2.24,2.34,2.11,2.19,2.11,2.2,2.46,2.56,2.22,2.32
383,154112.0,4.37,4.37,4.21,4.21,3.94,3.94,3.83,3.83,3.75,3.75
384,134895.0,3.54,5.32,3.32,4.98,3.22,4.82,3.3,4.94,3.34,5.0
385,144280.0,3.44,4.96,3.29,4.74,3.23,4.64,3.35,4.83,3.4,4.9
386,146469.0,4.41,5.18,4.3,5.05,4.23,4.97,4.22,4.96,4.21,4.95
387,127382.0,4.16,4.33,4.15,4.32,4.2,4.37,4.3,4.47,4.3,4.48
388,142384.0,4.27,5.02,4.08,4.8,3.99,4.68,4.06,4.77,4.1,4.82
389,146530.0,0.0,0.0,2.74,6.71,2.56,6.26,2.03,4.97,2.32,5.68
390,142459.0,,,,,,,,,,
391,143473.0,4.61,4.61,4.29,4.29,4.14,4.14,4.32,4.32,4.23,4.23
392,142304.0,0.0,0.0,5.53,4.17,5.45,4.12,5.16,3.89,5.3,4.0
393,175040.0,3.24,5.76,3.17,5.63,3.3,5.88,3.6,6.4,3.24,5.76
394,13895.0,,,,,,,,,,
395,174627.0,0.0,0.0,1.5,4.5,2.0,6.0,1.5,4.5,0.0,0.0
396,144266.0,5.23,3.48,4.87,3.24,4.84,3.22,4.83,3.22,4.82,3.22
397,172805.0,,,,,,,,,,
398,194730.0,,,,,,,,,,
399,193601.0,,,,,,,,,,
400,154270.0,5.22,3.78,4.64,3.36,4.93,3.57,5.8,4.2,4.83,3.5
401,187336.0,,,,,,,,,,
402,168013.0,,,,,,,,,,
403,168042.0,,,,,,,,,,
404,149059.0,5.8,4.2,4.79,3.46,4.99,3.61,4.81,3.48,4.93,3.57
405,164139.0,5.18,4.24,4.85,3.96,4.74,3.88,4.83,3.95,4.81,3.94
406,10922.0,3.12,4.88,3.6,5.62,3.54,5.53,3.41,5.34,3.12,4.88
407,39893.0,,,,,,,,,,
408,167603.0,,,,,,,,,,
409,179866.0,,,,,,,,,,
410,181210.0,,,,,,,,,,
411,56631.0,,,,,,,,,,
412,10062.0,,,,,,,,,,
413,180026.0,,,,,,,,,,
414,146508.0,2.56,6.27,2.46,6.02,2.51,6.15,2.42,5.93,2.28,5.57
415,160721.0,3.52,4.67,3.82,5.07,3.82,5.06,3.65,4.84,3.98,5.27
416,141206.0,2.52,4.29,2.75,4.68,2.67,4.55,2.91,4.96,2.86,4.86
417,157974.0,5.7,4.3,4.41,3.32,3.8,2.87,4.12,3.11,0.0,0.0
418,63969.0,0.0,0.0,9.0,2.43,8.0,2.16,10.0,2.7,9.0,2.43
419,58333.0,,,,,,,,,,
420,99664.0,,,,,,,,,,
421,168298.0,4.47,4.85,4.35,4.72,4.26,4.62,4.18,4.52,4.21,4.56
422,38823.0,,,,,,,,,,
423,140652.0,4.34,5.09,4.2,4.92,3.99,4.69,3.98,4.67,3.92,4.61
424,168069.0,,,,,,,,,,
425,83214.0,,,,,,,,,,
426,163711.0,,,,,,,,,,
427,186402.0,,,,,,,,,,
428,179327.0,,,,,,,,,,
429,193041.0,,,,,,,,,,
430,146524.0,4.42,4.42,4.15,4.15,4.05,4.05,4.11,4.11,4.12,4.12
431,153652.0,4.23,5.17,4.13,5.04,3.98,4.87,3.91,4.78,3.85,4.7
432,120165.0,2.83,5.26,2.91,5.41,2.77,5.14,2.94,5.46,2.92,5.43
433,172085.0,,,,,,,,,,
434,200404.0,,,,,,,,,,
435,41350.0,,,,,,,,,,
436,74315.0,,,,,,,,,,
437,93728.0,,,,,,,,,,
438,167105.0,4.72,4.18,4.6,4.07,4.5,3.99,4.41,3.91,4.51,4.0
439,91073.0,,,,,,,,,,
440,76080.0,,,,,,,,,,
441,82906.0,,,,,,,,,,
442,164173.0,2.76,4.31,2.82,4.41,2.65,4.15,2.85,4.45,2.89,4.52
443,165748.0,3.61,3.92,3.57,3.87,3.65,3.96,3.67,3.97,3.42,3.7
444,84899.0,,,,,,,,,,
