,code,npa_10s_npg_male,npa_10s_npg_female,npa_20s_npg_male,npa_20s_npg_female,npa_30s_npg_male,npa_30s_npg_female,npa_40s_npg_male,npa_40s_npg_female,npa_50s_npg_male,npa_50s_npg_female
430,146524.0,2.0,2.0,27.5,27.5,11.0,11.0,7.0,7.0,2.5,2.5
431,153652.0,2.7,3.3,26.1,31.9,8.55,10.45,5.85,7.15,1.8,2.2
432,120165.0,0.7,1.3,18.9,35.1,8.4,15.6,4.9,9.1,2.45,4.55
433,172085.0,,,,,,,,,,
434,200404.0,,,,,,,,,,
435,41350.0,,,,,,,,,,
436,74315.0,,,,,,,,,,
437,93728.0,,,,,,,,,,
438,167105.0,1.59,1.41,28.09,24.91,13.78,12.22,6.89,6.11,2.65,2.35
439,91073.0,,,,,,,,,,
440,76080.0,,,,,,,,,,
441,82906.0,,,,,,,,,,
442,164173.0,2.34,3.66,17.94,28.06,8.97,14.03,5.85,9.15,3.51,5.49
443,165748.0,1.44,1.56,19.2,20.8,13.44,14.56,10.56,11.44,2.88,3.12
444,84899.0,,,,,,,,,,
